Entity Name;Trade Name;License Number;Facility Type;Address;Address Zip Code;Location;Telephone Number;Number of Spaces
A & E CONEY ISLAND PARKING CORP;;926190;Parking Lot;"907 NEPTUNE AVENUE
BROOKLYN, NY 11224";11224;40.5794858339,-73.9794277679;7183731529;17
2910 ATLANTIC PARKING CORP;;1078473;Parking Garage;"188 230 STREET
BRONX, NY 10463";10463;40.8768906597,-73.9057197875;7183648350;150
PRONTO PARKING CORP;;1182377;Parking Garage;"169 65TH STREET
NEW YORK, NY 10021";10021;40.6402107054,-74.0249770462;2124903460;70
FIRST CLASS PARKING CORP;;1259622;Parking Lot;"986 WESTCHESTER AVENUE
BRONX, NY 10459";10459;40.8233097995,-73.894477233;4847694321;61
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1251241;Parking Lot;"140 28 STREET
NEW YORK, NY 10001";10001;40.7465151125,-73.9917212769;2125025490;60
J.C. PARKING CORP;;984596;Parking Lot;"601 AMSTERDAM AVENUE
NEW YORK, NY 10024";10024;40.7896974581,-73.9735421314;2127536116;85
WATERVIEW GARAGE CORP;;469442;Parking Garage;"10 END AVENUE
NEW YORK, NY 10021";10021;40.5636133304,-74.1788181627;2129562280;60
TWO FIFTH PARKING LLC;;1313004;Parking Garage;"2 5 AVENUE
NEW YORK, NY 10011";10011;40.7318350787,-73.9966097415;2125338312;146
AMAMCA PARKING TWO INC.;;1282474;Parking Lot;"1963 1967
BRONX, NY 10453";10453;40.8527868383,-73.9134267843;9172920463;100
JO-MEG GARAGE CORP;80 CENTRAL PARK W GARAGE;369373;Parking Garage;"80 CENTRAL PARK
NEW YORK, NY 10023";10023;40.7738334175,-73.9777059924;2129562280;83
CURANOVIC DODA & CURANOVIC MARAS;;429281;Parking Garage;"2927 VALENTINE AVENUE
BRONX, NY 10458";10458;40.8709546046,-73.8875283153;7183653150;26
SHARP PARKING LLC.;SHARP PARKING;916698;Parking Garage;"825 835 2 AVENUE
NEW YORK, NY 10017";10017;40.7524565274,-73.9729764809;2126869800;126
RAPID 75, CORP;;983786;Parking Garage;"35 75 STREET
NEW YORK, NY 10021";10021;40.7737210507,-73.963903762;2128661000;73
J & B PARKING GARAGE, INC.;;887551;Parking Lot;"2123 AMSTERDAM AVENUE
NEW YORK, NY 10032";10032;40.8380612345,-73.9382035073;2125433328;25
WILSHIRE CAR PARK INC;;976815;Parking Garage;"182 30 WEXFORD TERRACE
QUEENS, NY 11432";11432;40.7131153545,-73.7928209998;2122216111;204
118 PARKING CORP;;1180717;Parking Garage;"1682 PARK AVENUE
NEW YORK, NY 10035";10035;40.8007659983,-73.9423955269;2127367171;52
GRAMERCY 24 PARKING, LLC;;1247021;Parking Garage;"401 9 2 AVENUE
NEW YORK, NY 10010";10010;40.6183502386,-74.0301352556;2126869800;72
A AND E PARKING LLC;;1287869;Parking Lot;"688 BROADWAY
NEW YORK, NY 10012";10012;40.7280579262,-73.9945233143;7183750093;23
BRG CHARLES LLC;;1308946;Parking Garage;"140 CHARLES STREET
NEW YORK, NY 10014";10014;40.7341334071,-74.0080258461;5164989100;20
79TH STREET, CORP;;1186538;Parking Lot;"422 446 EAST 79TH STREET
NEW YORK, NY 10021";10021;40.7692053277,-73.9591839411;2128661000;105
ACCESS PARKING CORP;;1262710;Parking Garage;"159 21 STREET
NEW YORK, NY 10011";10011;40.7423359577,-73.995384276;7187215243;78
M&N GROUP PAKING INC.;;1343233;Parking Garage;"407 157 STREET
BRONX, NY 10451";10451;40.8216039121,-73.9148779076;7182929302;60
MY NEW PARKING, INC.;;1301648;Parking Garage;"1380 UNIVERSITY AVENUE
BRONX, NY 10452";10452;40.8422678078,-73.9260256663;3475388602;77
FULL HOUSE PARKING, LLC;;1299171;Parking Garage;"135 11 40 ROAD
QUEENS, NY 11354";11354;40.7686202206,-73.8271902807;7183534700;83
TRI STAR GARAGE SERVICE, CORP.;;427357;Parking Garage;"3230 JEROME AVENUE
BRONX, NY 10468";10468;40.8771050995,-73.8875639286;7183641837;100
ALARCON-MORDINI ENTERPRISES, INC.;;909797;Parking Lot;"77 11 ROOSEVELT AVENUE
JACKSON HEIGHTS, NY 11372";11372;40.7516307394,-73.8836125453;7184244400;100
AFFILIATED PARKING LLC;;469319;Parking Lot;"23 38 STREET
NEW YORK, NY 10016";10016;40.7501154843,-73.9805706528;2126869800;25
APEX PARKING LLC;;368300;Parking Garage;"440 57 STREET
NEW YORK, NY 10019";10019;40.7683994506,-73.9869159127;2126869800;378
WEST 108TH STREET PARKING GARAGE CORPORATION;;947353;Parking Garage;"234 108 STREET
NEW YORK, NY 10025";10025;40.8025038038,-73.9665543992;2122228800;98
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1155355;Parking Garage;"100 57 STREET
NEW YORK, NY 10019";10019;40.7643322408,-73.9772877161;9999999999;225
451 CARROLL STREET CORP.;;949893;Parking Lot;"442 CARROLL STREET
BROOKLYN, NY 11215";11215;40.6776226297,-73.9877710932;7182366023;31
IMPERIAL PARKING (US) INC;;1258468;Parking Lot;"452 460 10 AVENUE
NEW YORK, NY 10018";10018;40.7568407746,-73.9966914998;2129378660;100
220 EAST 63RD. GARAGE CORP.;;1181079;Parking Garage;"220 63 STREET
NEW YORK, NY 10021";10021;40.6414741738,-74.0241292397;2127522178;93
ALEX OPERATING CORP;;926484;Parking Lot;"27 50 JACKSON AVENUE
LONG ISLAND CITY, NY 11101";11101;40.7457024498,-73.9386690293;7187215243;150
HEIGHTS MANAGEMENT 181 LLC.;;1318535;Parking Garage;"506 181 STREET
NEW YORK, NY 10033";10033;40.8484501662,-73.9316696977;7187882109;197
MANHATTAN PARKING SYSTEM SERVICE CORP;;428302;Parking Garage;"220 MADISON AVENUE
NEW YORK, NY 10016";10016;40.7494977634,-73.9817169687;2127536116;45
PENNY LANE CAR PARK LLC;GGMC;1078420;Parking Garage;"215 24 STREET
NEW YORK, NY 10010";10010;40.7393706516,-73.9822959037;2129966363;99
NAEGELE, DOROTHY;D NAEGELE;363400;Parking Lot;"457 59 SENECA AVENUE
RIDGEWOOD, NY 11385";11385;40.7012248916,-73.8833485844;8137336894;25
34TH AND NINTH PARKING LLC;;1166499;Parking Lot;"436 438 9 AVENUE
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2126869800;140
AUTO STORAGE SYSTEMS INC;AUTO STORAGE SYSTEMS;919848;Parking Garage;"827 STERLING PLACE
BROOKLYN, NY 11216";11216;40.6726053924,-73.9511470478;7184939800;450
VERTICAL PARKING SYSTEMS, LL;;1306443;Parking Lot;"409 45 STREET
NEW YORK, NY 10036";10036;40.7605461614,-73.9916297265;2127378850;25
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1058904;Parking Lot;"32 34 WEST 29 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2122525993;35
ROYAL CHARTER PROPERTIES INC;;957484;Parking Garage;"1285 YORK AVENUE
NEW YORK, NY 10021";10021;40.7649621352,-73.9551688164;2127461969;77
QUIK PARK 61ST STREET LLC;;1192888;Parking Garage;"425 61 STREET
NEW YORK, NY 10021";10021;40.6398985868,-74.0183757313;2128322066;225
CENTRAL PARKING SYSTEM OF NEW YORK INC;;965328;Parking Garage;"210 10 23 AVENUE
QUEENS, NY 11360";11360;40.7807013344,-73.7822673369;2126296602;900
CANAL PARKING MGMT, LLC;;1343443;Parking Lot;"335 CANAL STREET
NEW YORK, NY 10013";10013;40.7203290325,-74.0031128053;2127957275;89
ARWIN 74TH STREET LLC;;1070438;Parking Garage;"300 75 STREET
NEW YORK, NY 10021";10021;40.7707206766,-73.9569187623;2126501416;177
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1140019;Parking Garage;"882 92 7 AVENUE
NEW YORK, NY 10019";10019;40.7676116472,-73.9918055002;2126296602;225
KINNEY SYSTEMS INC;;766654;Parking Garage;"222 65 STREET
NEW YORK, NY 10021";10021;40.6400709764,-74.0248633391;2128844444;300
THE SOCIETY OF THE NEW YORK HOSPITAL;;812525;Parking Garage;"515 70 STREET
NEW YORK, NY 10021";10021;40.7654650011,-73.954407153;2127481969;250
MANSION 88 PARKING LLC;;1298783;Parking Garage;"170 END AVENUE
NEW YORK, NY 10128";10128;40.5633126906,-74.178735499;2126869800;35
LUCKY CAR PARK, LLC;;1273538;Parking Garage;"380 LENOX AVENUE
NEW YORK, NY 10027";10027;40.8106246817,-73.943315918;2122216111;77
AMILL, MAGIE;JACKSON PARKING LOT;1003637;Parking Lot;"711 139 STREET
BRONX, NY 10454";10454;40.8056482706,-73.9125470707;7184019490;45
CHAMPION PARKING 16, LLC;;1130936;Parking Garage;"101 16 STREET
NEW YORK, NY 10003";10003;40.7359532933,-73.9893446986;2123085959;61
ALFRED CAR PARK LLC;GGMC;1157180;Parking Garage;"161 61 STREET
NEW YORK, NY 10023";10023;40.7713602819,-73.9859977415;2129966363;140
ALBEE SQUARE PARKING LLC;;1131830;Parking Lot;"408 414 ALBEE SQUARE
BROOKLYN, NY 11201";11201;40.6946782588,-73.9899208684;2124903460;80
IMPARK 17 STREET LLC;;1158884;Parking Lot;"41 17TH STREET
NEW YORK, NY 10011";10011;40.7384939581,-73.9935331767;2129378660;54
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1351793;Parking Lot;"30 141 STREET
NEW YORK, NY 10037";10037;40.8166971993,-73.9353794216;2125025490;64
GRAND ARMY CAR PARK LLC;;1331416;Parking Garage;"1 EASTERN PARKWAY
BROOKLYN, NY 11238";11238;40.6731367616,-73.9687622348;7183982518;179
52 - BROADWAY GARAGE CORP.;;851958;Parking Garage;"1675 BROADWAY
NEW YORK, NY 10019";10019;40.7630145735,-73.9830569585;2124072516;61
KINNEY PARKING SYSTEM INC;;1199957;Parking Garage;"146 57TH STREET
NEW YORK, NY 10019";10019;40.7650920074,-73.9790010161;2125025490;89
AMPCO SYSTEM PARKING;;1306361;Parking Garage;"750 LEXINGTON AVENUE
NEW YORK, NY 10022";10022;40.7624939875,-73.968027426;2127542678;72
MAY PARKING CORP.;;1215447;Parking Garage;"330 70 STREET
NEW YORK, NY 10021";10021;40.7668097124,-73.9576780908;2127373279;25
SYLVAN ELM GARAGE LLC;;1281079;Parking Garage;"94 11 60 AVENUE
ELMHURST, NY 11373";11373;40.7387104026,-73.8783511552;7185759440;40
AFFILIATED PARKING LLC;;429844;Parking Garage;"247 MADISON AVENUE
NEW YORK, NY 10016";10016;40.7503198819,-73.9810606769;2123333333;80
702 CONCOURSE CORP.;;1267754;Garage - Parking Lot Combo;"780 CONCOURSE VILLAGE
BRONX, NY 10451";10451;40.8231414428,-73.919767525;7187880066;108
45 EAST LLC;;1154974;Parking Garage;"333 45 STREET
NEW YORK, NY 10017";10017;40.7510706287,-73.9690838184;2125643199;35
THE HERTZ CORPORATION;;1231683;Parking Garage;"214 95 STREET
NEW YORK, NY 10025";10025;40.7936904479,-73.9715995958;2124865914;250
KIDS PARKING CORP;;1342832;Parking Garage;"105 DUANE STREET
NEW YORK, NY 10007";10007;40.7154824741,-74.0059015261;2124903460;72
LPARK 1 LLC;LAZ PARKING;1181102;Parking Lot;"432 436 BROOME STREET
NEW YORK, NY 10013";10013;40.7212421888,-74.0088890002;2127517033;40
ROYAL CHARTER       PROPERTIES-EAST INC;HELMSLEY MEDICAL TOWER GRG;831026;Parking Garage;"507 70 STREET
NEW YORK, NY 10021";10021;40.7655224858,-73.9545474832;2127461969;175
EAST 47TH GARAGE CORP;;1319230;Parking Garage;"212 47 STREET
NEW YORK, NY 10017";10017;40.753783955,-73.9718544468;2127367171;105
MP 65 LLC;;1258491;Parking Garage;;100;;2124903460;69
VARICK STREET PARKING LLC.;;1076689;Parking Lot;"114 122 VARICK STREET
NEW YORK, NY 10013";10013;40.7212421888,-74.0088890002;2126869800;86
V.M.C. PARKING INC.;SOLO PARKING;1263650;Parking Garage;"316 118 STREET
NEW YORK, NY 10026";10026;40.8061640444,-73.9554477722;2125312924;130
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1102228;Parking Lot;"100 MYRTLE AVENUE
BROOKLYN, NY 11201";11201;40.6936182586,-73.9855864598;2126296602;175
SHOW BIZ PARKING LIMITED LIABILITY COMPANY;;952277;Parking Lot;"256 262 WEST 46 STREET
NEW YORK, NY 10036";10036;40.7593468272,-73.9898605544;2123085959;90
QUIK PARK WEST 62ND ST LLC;;1280518;Parking Garage;"140 65 STREET
NEW YORK, NY 10023";10023;40.7734944646,-73.9833857715;2128322066;721
90 JOHN ST PARKING CORP;;1341578;Parking Lot;"1185 RIVER AVENUE
BRONX, NY 10452";10452;40.835128529,-73.9216769481;2122624771;100
SYLVAN REGENCY GARAGE LLC;;1291190;Parking Garage;"132 03 SANFORD AVENUE
FLUSHING, NY 11355";11355;40.7512997969,-73.8214785479;7185759440;105
1161 PARKING LOT CORP.;;1179362;Parking Lot;"1161 GARRISON AVENUE
BRONX, NY 10474";10474;40.8204261084,-73.8882580702;6462716133;28
QUIK PARK HUDSON 200 LLC;;1338621;Parking Lot;"200 RIVERSIDE BOULEVARD
NEW YORK, NY 10069";10069;40.7788816784,-73.9883092294;2128322066;284
WOFL, RAYMOND ET AL;148 EAST 33RD ST    ASSOCIATES;429682;Parking Garage;"148 33 STREET
NEW YORK, NY 10016";10016;40.7454598075,-73.979567589;2128661000;149
12TH STREET GARAGE CORP;;904543;Parking Garage;"17 12 STREET
NEW YORK, NY 10003";10003;40.7341463363,-73.9933362093;2122435900;285
PARK RIGHT CORP;PARK RIGHT;921240;Parking Garage;"564 SAINT JOHNS PLACE
BROOKLYN, NY 11238";11238;40.6728347415,-73.9595024137;2124599003;180
CREATIVE PARKING LLC;;368546;Parking Garage;"16 16 STREET
NEW YORK, NY 10011";10011;40.7375164188,-73.9932008181;2126869800;99
PERRY GARAGE CMPANY, INC;;469457;Parking Garage;"738 GREENWICH STREET
NEW YORK, NY 10014";10014;40.7351355906,-74.0069429516;2122428762;240
EDISON NY PARKING LLC;;926763;Parking Lot;"167 FRONT STREET
NEW YORK, NY 10038";10038;40.7060489832,-74.0050639683;2124636000;72
BRICIN PARKING CORP;;368410;Parking Garage;"65 55 STREET
NEW YORK, NY 10019";10019;40.7625672992,-73.9769645396;2127515431;24
F & F E 70 ST CORP;;977109;Parking Garage;"10 70 STREET
NEW YORK, NY 10021";10021;40.7706588107,-73.9668511755;2125359866;24
PARK RIGHT, CORP;;1174372;Parking Lot;"250 08 39 AVENUE
LITTLE NECK, NY 11363";11363;40.7723984183,-73.7467978874;7186312405;125
LARDON 1350, LLC.;;1187231;Parking Garage;"395 FLATBUSH AVENUE
BROOKLYN, NY 11238";11238;40.6759186294,-73.9715040218;2124903460;140
WESTSIDE 42 PARKING LLC;;1254341;Parking Garage;"350 42 STREET
NEW YORK, NY 10036";10036;40.7578079808,-73.9912443663;2126869800;200
PEAK TIME PARKING CORP.;;1314114;Parking Lot;"535 159 STREET
NEW YORK, NY 10032";10032;40.8345457292,-73.9420809237;2129424295;75
AMBER CAR PARK LLC;GGMC;986471;Parking Lot;"63 ROCKWELL PLACE
BROOKLYN, NY 11217";11217;40.6882025719,-73.9792288298;2129966363;77
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1313371;Parking Garage;"406 15 STREET
BROOKLYN, NY 11215";11215;40.6623934998,-73.9828181532;2125025490;26
F. A. J. PARKING CORP.;;1206795;Parking Garage;"3795 10 AVENUE
NEW YORK, NY 10034";10034;40.862155834,-73.9206260232;2122817491;100
COLANGELO, JOHN;;469708;Parking Lot;"2446 BEAUMONT AVENUE
BRONX, NY 10458";10458;40.8552975825,-73.8838568891;6464351897;48
WATERVIEW PARKING, INC;;1076044;Parking Garage;"180 END AVENUE
NEW YORK, NY 10128";10128;40.5632926864,-74.1787316093;2126509320;115
SOUND PARKING CORP;;1076667;Parking Lot;"6 17 STREET
NEW YORK, NY 10003";10003;40.7377463634,-73.9919101106;2123085959;74
189 SCHERMERHORN CAR PARK, LLC;;1361558;Parking Lot;"189 SCHERMERHORN STREET
BROOKLYN, NY 11201";11201;40.6891484349,-73.9864094712;2129966363;150
ROSARIO, HERIBERTO;1318 SOUTHERN BLVD PARKING;1126560;Parking Lot;"1318 SOUTHERN BOULEVARD
BRONX, NY 10459";10459;40.8307817343,-73.8916823587;9174175886;33
50-51 PARKING CORP;;905554;Parking Garage;"260 143 STREET
BRONX, NY 10451";10451;40.8152083345,-73.9244339664;7189936902;150
MONTEFIORE MEDICAL CENTER;;1314146;Parking Garage;"613 233 STREET
BRONX, NY 10466";10466;40.8945334482,-73.8606704297;7189202001;624
V & C REALTY II CORP;;1251057;Parking Lot;"49 20 VERNON BOULEVARD
QUEENS, NY 11101";11101;40.7457024498,-73.9386690293;7187869209;25
D'ORSOGNA, FILIPPO &D'ORSOGNA, PAOLO;D'ORSOGNA PARKING   LOT;469264;Parking Lot;"2321 BELMONT AVENUE
BRONX, NY 10458";10458;40.8531068735,-73.8869749863;7183656313;22
U DRIVE PARK LOT CORP;;1006566;Parking Lot;"531 COURTLANDT AVENUE
BRONX, NY 10451";10451;40.8161650514,-73.9197647682;7185857243;150
CASTLE PARKING CORP;;992413;Parking Garage;"2846 WEBSTER AVENUE
BRONX, NY 10458";10458;40.8666485606,-73.8845278677;7189334751;100
STANDARD PARKING CORPORATION;;1284143;Garage - Parking Lot Combo;"3611 HENRY HUDSON PARKWAY
BRONX, NY 10463";10463;40.8872279863,-73.9122479427;2129163480;120
100 RIVERSIDE PARKING LLC;;1306478;Parking Garage;"100 RIVERSIDE BOULEVARD
NEW YORK, NY 10069";10069;40.7762387891,-73.9895241806;2126869800;48
CENTRAL PARKING SYSTEM OF NEW YORK,INC.;;1144398;Parking Garage;"1745 BROADWAY
NEW YORK, NY 10019";10019;40.7653011879,-73.9820682799;2126296602;143
METRO PARKING CORP;;469866;Parking Garage;"301 63 STREET
NEW YORK, NY 10021";10021;40.6398453248,-74.0212946507;2122493344;39
MINT PARKING CORPORATION;;1074675;Parking Garage;"270 DYCKMAN STREET
NEW YORK, NY 10034";10034;40.8668772746,-73.9289357588;2125679897;250
THE FISHER-SIXTH AVENUE CO & HAWAIIAN SIXTH AVE CORP;BURLINGTON HOUSE GARAGE;369939;Parking Garage;"1341 6 AVENUE
NEW YORK, NY 10019";10019;40.7625791713,-73.9785170823;2127525000;341
CHAMPION PARKING 83RD ST CORP;CHAMPION PARKING 83RD ST;913526;Parking Garage;"303 83 STREET
NEW YORK, NY 10028";10028;40.7758946474,-73.9530303242;2125359419;115
KINNEY PARKING SYSTEM INC;CENTRAL PARKING SYSTEM;1202746;Parking Garage;"58 58 STREET
NEW YORK, NY 10019";10019;40.7648132175,-73.9762400975;2125025490;160
HOPE PARKING INC.;;1181894;Parking Garage;"400 84 STREET
NEW YORK, NY 10028";10028;40.7755078384,-73.9502810605;2124903460;63
CENTRAL HARLEM GARAGE CORP.;;1093314;Parking Garage;"130 MALCOLM X BOULEVARD
NEW YORK, NY 10026";10026;40.8026797084,-73.9490710614;2127367171;273
87 EAST LLC;;1154975;Parking Garage;"231 87 STREET
NEW YORK, NY 10128";10128;40.779216983,-73.95275541;2125643199;50
S.D. BARRON LLC;;1018977;Parking Garage;"85 4 AVENUE
NEW YORK, NY 10003";10003;40.7317110463,-73.9902308478;2123758455;48
NEW YORK PARKING 57TH ST CORP;;897530;Parking Garage;"110 57 STREET
NEW YORK, NY 10022";10022;40.7613148548,-73.9700617552;2122493344;65
COLTRO PARKING LOT CORP;;1241978;Parking Lot;"1160 EVEGREEN AVENUE
BRONX, NY 10472";10472;40.8297304325,-73.8701321314;9177769490;48
LA FAMILIA PARKING GARAGE CORP.;;1292226;Parking Garage;"2346 RYER AVENUE
BRONX, NY 10458";10458;40.8583614433,-73.8985113414;7188293655;40
FRAN PARKING CORP;;886406;Parking Lot;"6 20 STREET
MANHATTAN, NY 10003";10003;40.7381119345,-73.9873317043;2122493344;29
DEAN 111 INC;;1147734;Parking Lot;"686 88 GERARD AVENUE
BRONX, NY 10451";10451;40.8206964071,-73.923841368;9087831991;50
CENTRAL PARKING SYSTEM OF NEW YORK INC;;962029;Parking Garage;"169 200 CADMAN PLAZA
BROOKLYN, NY 11221";11221;40.6912880395,-73.9276179279;2126296602;546
JFK LONG TERM PARKING INC;;1356777;Parking Lot;"12202 CONDUIT AVE
JAMAICA, NY 11434";11434;40.6769452621,-73.7753069017;7188348400;408
N.N.I. ENTERPRISES LTD.;;1279332;Parking Lot;"1762 SEDDON STREET
BRONX, NY 10461";10461;40.8422351898,-73.8510685228;7185904777;150
AMBER CAR PARK,LLC;GGMC;1021918;Parking Lot;"11 LAFAYETTE AVENUE
BROOKLYN, NY 11217";11217;40.6868213122,-73.9786289437;2129966363;10
SYLVAN PINNACLE GARAGE CORP;;898215;Parking Garage;"112 01 QUEENS BOULEVARD
FOREST HILLS, NY 11375";11375;40.720707263,-73.8462842961;7185759440;421
CANAL CAR PARK INC;;1012276;Parking Lot;"313 319 BOND STREET
BROOKLYN, NY 11231";11231;40.6775543118,-74.0046767044;2122216111;120
PLAZA 400 GARAGE PARTNERS, LLC;;1312362;Parking Garage;"400 56 STREET
NEW YORK, NY 10022";10022;40.7575753745,-73.9633654246;2127522884;571
SOUTH WILLIAM PARKING LLC;;1013974;Parking Garage;"14 WILLIAM STREET
NEW YORK, NY 10004";10004;40.7045136755,-74.0107380905;2126869800;400
SESSANTA PARKINGB CO, LLC;;1342356;Parking Garage;"229 60 STREET
NEW YORK, NY 10023";10023;40.7716560595,-73.9885186818;7188969600;200
EDISON NY PARKING LLC;;926761;Parking Lot;"184 LUDLOW STREET
NEW YORK, NY 10002";10002;40.7219605228,-73.9873737042;2124636000;182
216-10 NY PARKING CORP.;;1310420;Parking Garage;"4055 10 AVENUE
NEW YORK, NY 10034";10034;40.8704745627,-73.9145915724;2123400315;143
BOULEVARD LEASING LIMITED PARTNERSHIP;;945052;Parking Garage;"97 45 QUEENS BOULEVARD
REGO PARK, NY 11374";11374;40.726464917,-73.8614808476;7188309084;95
COPLEY ASSOCIATES LLC;COPLEY GARAGE;959098;Parking Garage;"2000 BROADWAY
NEW YORK, NY 10023";10023;40.7755511226,-73.9820497178;2128887400;57
BUZZ PARKING II LLC.;;1241099;Parking Garage;"14 24 KENMARE STREET
NEW YORK, NY 10012";10012;40.7255380209,-73.9978964106;2122268567;100
CHAMPION PARKING 57 LLC;;1093313;Parking Garage;"316 57 STREET
NEW YORK, NY 10019";10019;40.7671694412,-73.9839652737;2123085959;372
MARJO PARKING INC.;;1013467;Parking Lot;"414 206 STREET
NEW YORK, NY 10034";10034;40.8633083601,-73.9183189621;2126959455;44
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1102229;Parking Lot;"84 WHITE STREET
NEW YORK, NY 10013";10013;40.7175857192,-74.0021386432;2126296602;59
PROPARK AMERICA NEW YORK, LLC;;1313951;Parking Garage;"20 5 STREET
BROOKLYN, NY 11211";11211;40.7193851784,-73.963254381;7182467275;174
420 EAST 51ST PARKING LLC;;1312992;Parking Garage;"420 51 STREET
NEW YORK, NY 10022";10022;40.7542371905,-73.9650615247;2128587565;105
PROPARK AMERICA NEW YORK, LLC.;;1217747;Parking Garage;"1715 13 STREET
BROOKLYN, NY 11229";11229;40.6076450237,-73.9598855734;9174786300;300
WE HAVE CARS II INC;;1313005;Parking Lot;"1824 PARK AVENUE
NEW YORK, NY 10035";10035;40.8055704919,-73.9388912536;2122227075;135
STANDARD PARKING CORPORATION;;1290041;Parking Garage;"92 30 165 STREET
JAMAICA, NY 11433";11433;40.6981048817,-73.7875740339;212163480;601
L & X PARKING LOT CORP.;;1336016;Parking Lot;"133 12 37 AVENUE
FLUSHING, NY 11354";11354;40.7686202206,-73.8271902807;9178159323;20
KINNEY PARKING SYSTEM, INC;CENTRAL PARKING SYSTEM;1137167;Parking Garage;"33 28 STREET
NEW YORK, NY 10001";10001;40.7454027497,-73.9889240126;2126296602;224
AMAMCA PARKING CORP.;;1106244;Parking Lot;"4388 BROADWAY
NEW YORK, NY 10040";10040;40.8544226598,-73.9335790461;2127402284;24
ALBEE SQUARE PARKING LLC;;1131833;Parking Lot;"209 211 DUFFIELD STREET
BROOKLYN, NY 11201";11201;40.6946782588,-73.9899208684;2124903460;30
MIGUEL'S PARKING LOT INC;;1029231;Parking Lot;"601 BERGEN AVENUE
BRONX, NY 10455";10455;40.8167760701,-73.9153082527;7183786388;84
T CARDINAL COOKE HEALTH CARE CENTER;;699003;Parking Garage;"1560 68 MADISON AVENUE
NEW YORK, NY 10029";10029;40.7916107206,-73.9440322811;2123603600;350
CHIVIAN GARAGE CORP;;900505;Parking Garage;"101 12 STREET
NEW YORK, NY 10011";10011;40.7361608177,-73.9981116092;2129562280;98
EFFICIENT PARKING LLC;;968559;Parking Garage;"170 23 STREET
NEW YORK, NY 10011";10011;40.743711773,-73.9948012805;2126869800;105
K R W OPERATING CORP;;427235;Parking Garage;"205 101 STREET
NEW YORK, NY 10025";10025;40.7974855868,-73.9686048535;2128661000;300
454 MANAVE GARAGE CORP;;1310287;Parking Garage;"454 MANHATTAN AVENUE
NEW YORK, NY 10026";10026;40.8070403619,-73.955330423;2127367171;33
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1216515;Parking Garage;"15 METROTECH CENTER
BROOKLYN, NY 11201";11201;40.6938670076,-73.9870272598;7185962291;268
MP NORTHERN, LLC;;1245066;Parking Lot;"2916 28 NORTHERN BOULEVARD
LONG ISLND CITY, NY 11101";11101;40.7457024498,-73.9386690293;2124903490;100
724 MANAGEMENT CORP.;724 GARAGE;1068139;Parking Lot;"41 25 KISSENA BOULEVARD
QUEENS, NY 11355";11355;40.7512997969,-73.8214785479;7188882367;197
PINOS JR, FLORENCIO A;M&M PARKING 11;1348860;Parking Lot;"362 148 STREET
BRONX, NY 10455";10455;40.8157875799,-73.9196769642;9179127755;80
IMPERIAL PARKING US INC;IMPARK CITIFIELD PARING LOT;1328904;Parking Lot;"126 01 ROOSEVELT AVENUE
FLUSHING, NY 11368";11368;40.7496782204,-73.8530406886;2129378660;6640
QUALITY CAR PARK, LLC;;1257232;Parking Garage;"85 ADAMS STREET
BROOKLYN, NY 11201";11201;40.7017381618,-73.9885876044;2122216111;79
LIC OPERATING LLC;;1262963;Parking Garage;"27 28 THOMPSON AVENUE
LONG ISLND CITY, NY 11101";11101;40.7457024498,-73.9386690293;7187296055;200
INDUS REALITY CORP.;;1263390;Parking Lot;"37 06 104 STREET
CORONA, NY 11368";11368;40.7496782204,-73.8530406886;7185202600;12
CASTALDO, JULIA;;696143;Parking Lot;"3114 JEROME AVENUE
BRONX, NY 10468";10468;40.87516305,-73.888496696;7189331482;10
NEW YORK PARKING 56TH ST CORP;;368238;Parking Garage;"65 56 STREET
NEW YORK, NY 10019";10019;40.7631849741,-73.976521867;2122493349;80
SIRULNICK, JOSEPH & SANFORD;SEMINOLE REALTY CO;800582;Parking Lot;"72 38 113 STREET
FOREST HILLS, NY 11375";11375;40.720707263,-73.8462842961;5163747000;31
ALERT PARKING LLC;;1180320;Parking Garage;"30 85TH STREET
NEW YORK, NY 10028";10028;40.7803265225,-73.9596565993;2126869800;43
PARK KWIK LLC;;1172406;Parking Garage;"55 WASHINGTON STREET
BROOKLYN, NY 11201";11201;40.7026864715,-73.9895704296;7182469201;120
QUIK PARK REAL LLC;;1192939;Parking Garage;"35 PARK AVENUE
NEW YORK, NY 10016";10016;40.7480678413,-73.9804759043;2128322066;47
FULTON CAR PARK LLC;GGMC;1026759;Parking Lot;"622 FULTON STREET
BROOKLYN, NY 11217";11217;40.687511546,-73.9775235292;2129966363;95
QUIK PARK 1633 GARAGE LLC;;1305615;Parking Lot;"1633 BROADWAY
NEW YORK, NY 10019";10019;40.7615275494,-73.9840228996;2128322066;282
